"Helység.megnevezése";"IRSZ";"Településrész";"Helység.KSH kódja";"Helység.jogállása";"Megye megnevezése";"Járáskódja";"Járásneve";"Járásszékhelye";"Polgármesteri hivatal, közös önkormányzati hivatal.kódja";"Polgármesteri hivatal, közös önkormányzati hivatal.székhelye";"Terület  (hektár)";"Lakó-népesség";"Lakások száma";"Becsült terület-adatokkal";"Nemzetiségi önkormányzat.bolgár";"Nemzetiségi önkormányzat.görög";"Nemzetiségi önkormányzat.horvát";"Nemzetiségi önkormányzat.lengyel";"Nemzetiségi önkormányzat.német";"Nemzetiségi önkormányzat.örmény";"Nemzetiségi önkormányzat.roma";"Nemzetiségi önkormányzat.román";"Nemzetiségi önkormányzat.ruszin";"Nemzetiségi önkormányzat.szerb";"Nemzetiségi önkormányzat.szlovák";"Nemzetiségi önkormányzat.szlovén";"Nemzetiségi önkormányzat.ukrán"
"Felsõnyék";7099;NA;"17914";"község";"Tolna";"174 0";"Tamási";"Tamási";"5";"Magyarkeszi";3202;974;490;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Felsõörs";8227;NA;"24369";"község";"Veszprém";"184 0";"Balatonalmádi";"Balatonalmádi";"5";"Balatonalmádi";1723;1758;590;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Felsõpáhok";8395;NA;"11642";"község";"Zala";"193 0";"Keszthelyi";"Keszthely";"5";"Zalacsány";727;680;327;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Felsõpakony";2363;NA;"06035";"nagyközség";"Pest";"129 0";"Gyáli";"Gyál";"1";"–";1533;3661;1262;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Felsõpetény";2611;NA;"24323";"község";"Nógrád";"119 0";"Rétsági";"Rétság";"6";"Nõtincs";1450;583;266;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA
"Felsõrajk";8767;NA;"21476";"község";"Zala";"196 0";"Nagykanizsai";"Nagykanizsa";"2";"Helyben – Locally";2054;723;328;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Felsõregmec";3989;NA;"07588";"község";"Borsod-Abaúj-Zemplén";"065 0";"Sátoraljaújhelyi";"Sátoraljaújhely";"5";"Kishuta";1075;303;88;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Felsõszenterzsébet";8973;NA;"30890";"község";"Zala";"194 0";"Lenti";"Lenti";"6";"Csesztreg";824;16;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Felsõszentiván";6447;NA;"02954";"község";"Bács-Kiskun";"035 0";"Bajai";"Baja";"2";"Helyben – Locally";5354;1728;843;NA;NA;NA;"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Felsõszentmárton";7968;NA;"08819";"község";"Baranya";"030 0";"Sellyei";"Sellye";"2";"Helyben – Locally";1946;820;508;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Felsõszölnök";9985;NA;"23287";"község";"Vas";"180 0";"Szentgotthárdi";"Szentgotthárd";"6";"Alsószölnök";2356;565;291;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA
"Felsõtárkány";3324;NA;"16328";"község";"Heves";"104 0";"Egri";"Eger";"2";"Helyben – Locally";7732;3528;1325;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Felsõtelekes";3735;NA;"31671";"község";"Borsod-Abaúj-Zemplén";"058 0";"Kazincbarcikai";"Kazincbarcika";"5";"Ormosbánya";845;628;286;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Felsõtold";3067;NA;"33312";"község";"Nógrád";"118 0";"Pásztói";"Pásztó";"6";"Mátraszõlõs";1083;115;104;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Felsõvadász";3814;NA;"23533";"község";"Borsod-Abaúj-Zemplén";"067 0";"Szikszói";"Szikszó";"5";"Homrogd";1864;523;177;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Felsõzsolca";3561;NA;"02848";"város";"Borsod-Abaúj-Zemplén";"061 0";"Miskolci";"Miskolc";"1";"–";1625;6373;2186;NA;"1";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Fényeslitke";4621;NA;"22415";"község";"Szabolcs-Szatmár-Bereg";"153 0";"Kisvárdai";"Kisvárda";"1";"–";2515;2357;867;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Fenyõfõ";8432;NA;"30678";"község";"Gyõr-Moson-Sopron";"090 0";"Pannonhalmi";"Pannonhalma";"6";"Bakonyszentlászló";2965;104;84;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ferencszállás";6774;NA;"18999";"község";"Csongrád";"075 0";"Szegedi";"Szeged";"5";"Kübekháza";579;587;269;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fertõboz";9493;NA;"11253";"község";"Gyõr-Moson-Sopron";"091 0";"Soproni";"Sopron";"6";"Nagycenk";1367;325;118;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fertõd";9431;NA;"09885";"város";"Gyõr-Moson-Sopron";"091 0";"Soproni";"Sopron";"1";"–";4855;3326;1448;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Fertõd";9433;"Tõzeggyármajor";"09885";"város";"Gyõr-Moson-Sopron";"091 0";"Soproni";"Sopron";"1";"–";4855;3326;1448;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Fertõendréd";9442;NA;"09487";"község";"Gyõr-Moson-Sopron";"091 0";"Soproni";"Sopron";"6";"Petõháza";1509;655;254;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fertõhomok";9492;NA;"10658";"község";"Gyõr-Moson-Sopron";"091 0";"Soproni";"Sopron";"5";"Hegykõ";1261;805;258;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fertõrákos";9421;NA;"12414";"község";"Gyõr-Moson-Sopron";"091 0";"Soproni";"Sopron";"1";"–";2189;2323;926;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Fertõszentmiklós";9444;NA;"15343";"város";"Gyõr-Moson-Sopron";"091 0";"Soproni";"Sopron";"1";"–";3938;3846;1524;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fertõszéplak";9436;NA;"31440";"község";"Gyõr-Moson-Sopron";"091 0";"Soproni";"Sopron";"2";"Helyben – Locally";2178;1331;491;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fiad";7282;NA;"31644";"község";"Somogy";"147 0";"Tabi";"Tab";"6";"Andocs";1491;97;79;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Filkeháza";3994;NA;"25238";"község";"Borsod-Abaúj-Zemplén";"065 0";"Sátoraljaújhelyi";"Sátoraljaújhely";"5";"Kishuta";441;95;42;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA
"Fityeház";8835;NA;"19187";"község";"Zala";"196 0";"Nagykanizsai";"Nagykanizsa";"5";"Murakeresztúr";650;639;253;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Foktõ";6331;NA;"02149";"község";"Bács-Kiskun";"037 0";"Kalocsai";"Kalocsa";"6";"Fajsz";3146;1552;737;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
